Account Number,Account Type,Employment Status,Employment Position,Age,Nationality,Account Status,Risk Code,Date Joined
24435,SINGLE,EMPLOYED FULL-TIME,FACTORY OPERATIVE,31,IRISH,ACTIVE,LO,23-May-01
24439,SINGLE,UNEMPLOYED,Not Available,34,IRISH,ACTIVE,LO,24-May-01
24444,SINGLE,UNEMPLOYED,Not Available,53,IRISH,ACTIVE,LO,25-May-01
24446,SINGLE,DISABILITY,DISABILITY INCOME,45,IRISH,ACTIVE,LO,25-May-01
24447,SINGLE,UNEMPLOYED,JOB-SEEKERS ALLOWANCE,61,IRISH,CHOFF,LO,25-May-01
24459,SINGLE,EMPLOYED FULL-TIME,SHOP ASSISTANT,49,IRISH,ACTIVE,LO,28-May-01
24470,SINGLE,EMPLOYED FULL-TIME,HAIRDRESSER,41,IRISH,ACTIVE,LO,30-May-01
24478,SINGLE,EMPLOYED FULL-TIME,QUANITY SEWVER,38,IRISH,ACTIVE,LO,05-Jun-01
24487,SINGLE,EMPLOYED FULL-TIME,DOCUMENTATION CONTROL SPECIALIST,38,IRISH,ACTIVE,LO,08-Jun-01
24496,SINGLE,EMPLOYED FULL-TIME,PRODUCTION SUPERVISOR,54,IRISH,ACTIVE,LO,12-Jun-01
24497,GROUP,Not Available,Not Available,22,IRISH,ACTIVE,LO,12-Jun-01
24513,SINGLE,EMPLOYED FULL-TIME,PRODUCTION OPERATOR,42,IRISH,ACTIVE,LO,15-Jun-01
24517,SINGLE,EMPLOYED FULL-TIME,CARER,70,IRISH,CHOFF,LO,18-Jun-01
24521,SINGLE,EMPLOYED PART-TIME,SHOP WORKER,22,IRISH,ACTIVE,LO,19-Jun-01
24523,SINGLE,Not Available,Not Available,22,IRISH,ACTIVE,LO,21-Jun-01
24538,SINGLE,RETIRED,RETIRED,65,IRISH,ACTIVE,LO,28-Jun-01
24540,SINGLE,EMPLOYED FULL-TIME,TEACHER,55,IRISH,ACTIVE,LO,29-Jun-01
24544,SINGLE,EMPLOYED FULL-TIME,HASBRO,44,IRISH,ACTIVE,LO,29-Jun-01
24559,SINGLE,EMPLOYED FULL-TIME,MAYPARK ARDKEEN,54,IRISH,ACTIVE,LO,06-Jul-01
24562,SINGLE,Not Available,Not Available,76,IRISH,ACTIVE,LO,06-Jul-01
24564,SINGLE,EMPLOYED FULL-TIME,BAKER,42,IRISH,ACTIVE,LO,06-Jul-01
24569,SINGLE,EMPLOYED FULL-TIME,Machine operator,32,IRISH,ACTIVE,LO,10-Jul-01
24571,SINGLE,UNEMPLOYED,Not Available,22,IRISH,ACTIVE,LO,12-Jul-01
24580,SINGLE,SELF EMPLOYED,BUSINESS DEVELOPMENT MANAGER,59,IRISH,ACTIVE,LO,17-Jul-01
24586,SINGLE,EMPLOYED FULL-TIME,Director,42,IRISH,ACTIVE,LO,19-Jul-01
24588,SINGLE,STUDENT,RETAIL ASSISTANT / STUDENT,22,IRISH,ACTIVE,LO,19-Jul-01
24595,SINGLE,EMPLOYED FULL-TIME,LAND REGISTERY,57,IRISH,ACTIVE,LO,20-Jul-01
24599,SINGLE,EMPLOYED FULL-TIME,MANAGER,48,IRISH,ACTIVE,LO,23-Jul-01
24602,SINGLE,UNEMPLOYED,Not Available,28,IRISH,ACTIVE,LO,24-Jul-01
24603,SINGLE,Not Available,Not Available,27,IRISH,ACTIVE,LO,24-Jul-01
24604,SINGLE,EMPLOYED FULL-TIME,FACTORY WORK,67,IRISH,ACTIVE,LO,13-Jul-01
24605,SINGLE,EMPLOYED FULL-TIME,SERVICE DESK SUPERVISOR,50,IRISH,ACTIVE,LO,13-Jul-01
24607,SINGLE,EMPLOYED FULL-TIME,TEACHER,49,IRISH,ACTIVE,LO,25-Jul-01
24608,SINGLE,EMPLOYED PART-TIME,CHEF,62,IRISH,ACTIVE,LO,25-Jul-01
24610,SINGLE,UNEMPLOYED,HOUSEWIFE,77,IRISH,ACTIVE,LO,02-Oct-70
24616,SINGLE,RETIRED,PENSION,82,IRISH,ACTIVE,LO,27-Jul-01
24623,SINGLE,Not Available,Not Available,58,IRISH,ACTIVE,LO,01-Aug-01
24624,SINGLE,EMPLOYED PART-TIME,Not Available,22,IRISH,ACTIVE,LO,01-Aug-01
24640,SINGLE,EMPLOYED FULL-TIME,Quality Manager,58,IRISH,ACTIVE,LO,02-Mar-06
24649,SINGLE,EMPLOYED PART-TIME,OFFICE WORKER,30,IRISH,ACTIVE,LO,08-Aug-01
24650,SINGLE,RETIRED,Not Available,72,IRISH,ACTIVE,LO,08-Aug-01
24653,SINGLE,Not Available,Not Available,24,IRISH,ACTIVE,LO,09-Aug-01
24654,SINGLE,Not Available,Not Available,22,IRISH,ACTIVE,LO,09-Aug-01
24655,SINGLE,EMPLOYED FULL-TIME,ADMIN,41,IRISH,ACTIVE,LO,09-Aug-01
24658,SINGLE,RETIRED,Not Available,100,IRISH,ACTIVE,LO,10-Aug-01
24668,SINGLE,EMPLOYED FULL-TIME,PA / ADMIN,53,IRISH,ACTIVE,LO,13-Aug-01
24669,SINGLE,RETIRED,Not Available,75,IRISH,ACTIVE,LO,14-Aug-01
24671,SINGLE,EMPLOYED FULL-TIME,VAN DRI/CLEANER,62,IRISH,CHOFF,LO,14-Aug-01
24675,SINGLE,Not Available,Not Available,22,IRISH,ACTIVE,LO,16-Aug-01
24677,SINGLE,EMPLOYED FULL-TIME,SCHOOL SECRETARY,51,IRISH,ACTIVE,LO,16-Aug-01
24688,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,57,IRISH,CHOFF,LO,20-Aug-01
24694,SINGLE,Not Available,Not Available,28,IRISH,ACTIVE,LO,23-Aug-01
24699,SINGLE,Not Available,Not Available,42,IRISH,ACTIVE,LO,23-Aug-01
24710,SINGLE,EMPLOYED FULL-TIME,DEPARTMENT OF DEFENCE (NAVY),22,IRISH,ACTIVE,LO,24-Aug-01
24711,SINGLE,EMPLOYED FULL-TIME,CAD Technician,47,IRISH,ACTIVE,LO,27-Aug-01
24712,SINGLE,EMPLOYED FULL-TIME,SOCIAL CARE PRACTITIONER,40,IRISH,ACTIVE,LO,27-Aug-01
24713,SINGLE,Not Available,Not Available,63,IRISH,ACTIVE,LO,28-Aug-01
24719,SINGLE,RETIRED,PENSIONER,79,IRISH,ACTIVE,LO,30-Aug-01
24721,SINGLE,EMPLOYED FULL-TIME,GENERAL OP,42,IRISH,ACTIVE,LO,30-Aug-01
24734,SINGLE,UNEMPLOYED,Not Available,72,IRISH,ACTIVE,LO,04-Sep-01
24736,SINGLE,RETIRED,STATE PENSION,77,IRISH,ACTIVE,LO,04-Sep-01
24745,SINGLE,EMPLOYED FULL-TIME,ADMIN / EVENT MGR,22,IRISH,ACTIVE,LO,06-Sep-01
24746,SINGLE,SELF EMPLOYED,TAXI DRIVER/OWNER,67,IRISH,ACTIVE,LO,07-Sep-01
24757,SINGLE,EMPLOYED PART-TIME,ODONNACHAS,45,IRISH,ACTIVE,LO,11-Sep-01
24762,SINGLE,EMPLOYED FULL-TIME,SPORTS COACH,37,IRISH,ACTIVE,LO,13-Sep-01
24782,SINGLE,UNEMPLOYED,Not Available,56,IRISH,ACTIVE,LO,21-Sep-01
24785,SINGLE,Not Available,Not Available,25,IRISH,ACTIVE,LO,21-Sep-01
24786,SINGLE,EMPLOYED PART-TIME,CASHIER,37,IRISH,ACTIVE,LO,21-Sep-01
24790,SINGLE,SELF EMPLOYED,ANZA IRELAND,60,IRISH,ACTIVE,LO,25-Sep-01
24798,SINGLE,UNEMPLOYED,SICK BENEFIT,66,IRISH,ACTIVE,LO,28-Sep-01
24805,SINGLE,EMPLOYED FULL-TIME,BANK OFFICIAL,43,IRISH,ACTIVE,LO,01-Oct-01
24808,GROUP,Not Available,Not Available,22,IRISH,ACTIVE,LO,02-Oct-01
24815,SINGLE,EMPLOYED FULL-TIME,Customer Support Manager,40,IRISH,ACTIVE,LO,05-Oct-01
24821,SINGLE,EMPLOYED FULL-TIME,GENERAL WORKER,22,IRISH,ACTIVE,LO,09-Oct-01
24822,SINGLE,UNEMPLOYED,HOME CARER,36,IRISH,ACTIVE,LO,09-Oct-01
24826,SINGLE,STUDENT,STUDENT,22,IRISH,ACTIVE,LO,11-Oct-01
24838,SINGLE,EMPLOYED FULL-TIME,CARERS ALLOW,66,IRISH,ACTIVE,LO,12-Oct-01
24843,SINGLE,HOMEMAKER,GENERAL OPERATOR,55,IRISH,ACTIVE,LO,18-Oct-01
24847,SINGLE,EMPLOYED FULL-TIME,METAL FABRICATER,39,IRISH,CHOFF,LO,19-Oct-01
24849,SINGLE,EMPLOYED FULL-TIME,DRAIN WORKER,56,IRISH,ACTIVE,HI,22-Oct-01
24852,SINGLE,EMPLOYED PART-TIME,MERCHANDISING,69,IRISH,ACTIVE,LO,23-Oct-01
24863,SINGLE,Not Available,Not Available,22,IRISH,ACTIVE,LO,02-Nov-01
24867,SINGLE,EMPLOYED FULL-TIME,CUSTOMER SERVICE,22,IRISH,ACTIVE,LO,05-Nov-01
24884,SINGLE,UNEMPLOYED,JOB SEEKERS ALLLOWANCE,65,IRISH,ACTIVE,LO,25-Jun-02
24890,SINGLE,EMPLOYED FULL-TIME,3RD YR APPRENTICE ELECTRICIAN,25,IRISH,ACTIVE,LO,15-Nov-01
24891,SINGLE,EMPLOYED FULL-TIME,ELECTRICIAN,28,IRISH,ACTIVE,LO,15-Nov-01
24893,SINGLE,Not Available,Not Available,86,IRISH,ACTIVE,LO,15-Nov-01
24894,SINGLE,EMPLOYED FULL-TIME,ELECTRICAL APPRENTICE,22,IRISH,ACTIVE,LO,15-Nov-01
24895,SINGLE,EMPLOYED FULL-TIME,SCAFFOLDER,70,IRISH,ACTIVE,LO,15-Nov-01
24897,SINGLE,UNEMPLOYED,Not Available,52,IRISH,ACTIVE,LO,14-Jun-13
24903,SINGLE,Not Available,Not Available,84,IRISH,ACTIVE,LO,26-Nov-01
24906,SINGLE,UNEMPLOYED,JOB SEEKER,62,IRISH,ACTIVE,LO,27-Nov-01
24911,SINGLE,EMPLOYED PART-TIME,CUSTOMER RELATIONS,57,IRISH,ACTIVE,LO,03-Dec-01
24918,SINGLE,EMPLOYED FULL-TIME,EXERCISE RIDER,22,IRISH,ACTIVE,LO,28-Nov-01
24922,SINGLE,EMPLOYED FULL-TIME,WELDER,22,IRISH,ACTIVE,LO,03-Dec-01
24925,SINGLE,DISABILITY,ILLNESS BENEFIT,64,IRISH,ACTIVE,LO,03-Dec-01
24931,SINGLE,EMPLOYED PART-TIME,HOUSE PARENT,22,IRISH,ACTIVE,LO,03-Dec-01
24941,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,22,IRISH,ACTIVE,LO,14-Dec-01
24942,SINGLE,EMPLOYED FULL-TIME,DELIVERY DRIVER,67,IRISH,ACTIVE,LO,14-Dec-01
24943,SINGLE,EMPLOYED FULL-TIME,OFFICE MANAGER,46,IRISH,ACTIVE,LO,14-Dec-01
24944,SINGLE,EMPLOYED FULL-TIME,BUS DRIVER,39,IRISH,ACTIVE,LO,14-Dec-01
24946,SINGLE,RETIRED,STATE PENSION,79,IRISH,ACTIVE,LO,14-Dec-01
24950,SINGLE,EMPLOYED PART-TIME,SECRETARY,55,IRISH,ACTIVE,LO,17-Dec-01
24953,SINGLE,Not Available,Not Available,22,IRISH,ACTIVE,LO,17-Dec-01
24955,SINGLE,EMPLOYED PART-TIME,CHEF,57,IRISH,CHOFF,LO,17-Dec-01
24963,SINGLE,EMPLOYED FULL-TIME,SHOP ASSISTANT,60,IRISH,ACTIVE,LO,19-Dec-01
24964,SINGLE,EMPLOYED PART-TIME,WAITRESS,26,IRISH,ACTIVE,LO,20-Dec-01
24987,SINGLE,Not Available,Not Available,63,IRISH,ACTIVE,LO,09-Jan-02
24989,SINGLE,RETIRED,RETIRED,73,IRISH,ACTIVE,LO,10-Jan-02
24992,SINGLE,EMPLOYED PART-TIME,CREW MEMBER,22,IRISH,ACTIVE,LO,14-Jan-02
25005,SINGLE,EMPLOYED FULL-TIME, FACTORY OPERATIVE,40,IRISH,ACTIVE,LO,16-Jan-02
25008,SINGLE,EMPLOYED FULL-TIME,SOCIAL CARE WORKER 5 YRS,37,IRISH,ACTIVE,LO,16-Jan-02
25013,SINGLE,EMPLOYED FULL-TIME,INDUSTRIAL PLUMBER AND PIPE FITTER,25,IRISH,ACTIVE,LO,16-Jan-02
25014,SINGLE,UNEMPLOYED,HOME MAKER,58,IRISH,ACTIVE,LO,17-Jan-02
25019,SINGLE,EMPLOYED FULL-TIME,FIELD AREA MANAGER,38,IRISH,ACTIVE,LO,16-Jan-02
25025,SINGLE,UNEMPLOYED,UNEMPLOYED,23,IRISH,ACTIVE,LO,16-Jan-02
25026,SINGLE,RETIRED,Not Available,87,IRISH,ACTIVE,LO,10-Nov-11
25035,SINGLE,Not Available,Not Available,76,IRISH,ACTIVE,LO,25-Jan-02
25040,SINGLE,Not Available,PRODUCTION MAN.,54,IRISH,ACTIVE,LO,25-Jan-02
25041,SINGLE,EMPLOYED PART-TIME,CARER,33,IRISH,ACTIVE,LO,25-Jan-02
25045,SINGLE,EMPLOYED FULL-TIME,AUTOCAD TECHNICIAN,40,IRISH,ACTIVE,LO,25-Jan-02
25048,SINGLE,UNEMPLOYED,UNEMPLOYED,59,IRISH,ACTIVE,LO,24-Jan-02
25052,SINGLE,EMPLOYED FULL-TIME,FOODSERVICES MANAGER,51,IRISH,ACTIVE,LO,23-Jan-02
25057,SINGLE,EMPLOYED FULL-TIME,Not Available,55,IRISH,ACTIVE,LO,25-Jan-02
25058,SINGLE,EMPLOYED FULL-TIME,HR GENERALIST,31,IRISH,ACTIVE,LO,25-Jan-02
25068,SINGLE,EMPLOYED PART-TIME,BARISTA,65,IRISH,ACTIVE,LO,29-Jan-02
25071,SINGLE,SELF EMPLOYED,MANAGER- SHERCON CONSTRUCTION,67,IRISH,ACTIVE,LO,30-Jan-02
25074,SINGLE,EMPLOYED PART-TIME,CASHIER,26,IRISH,ACTIVE,LO,30-Jan-02
25075,SINGLE,EMPLOYED PART-TIME,SECRETARY,64,IRISH,ACTIVE,LO,30-Jan-02
25077,SINGLE,EMPLOYED FULL-TIME,ADMIN.,34,IRISH,ACTIVE,LO,30-Jan-02
25080,SINGLE,EMPLOYED FULL-TIME,NURSE,50,IRISH,ACTIVE,LO,30-Jan-02
25090,SINGLE,DISABILITY,DISABILITY,68,IRISH,ACTIVE,LO,01-Feb-02
25093,SINGLE,RETIRED,PENSION TYPE UNKNOWN,89,IRISH,ACTIVE,LO,08-Feb-02
25096,SINGLE,EMPLOYED FULL-TIME,FATORY OPERATIVE,22,IRISH,ACTIVE,LO,04-Feb-02
25098,SINGLE,EMPLOYED FULL-TIME,OFFICE WORKER,27,IRISH,ACTIVE,LO,01-Feb-02
25100,SINGLE,EMPLOYED FULL-TIME,SECTION MANAGER,59,IRISH,ACTIVE,LO,05-Feb-02
25104,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,45,IRISH,ACTIVE,LO,06-Feb-02
25108,SINGLE,EMPLOYED FULL-TIME,BROTHERS OF CHARITY,32,IRISH,ACTIVE,LO,07-Feb-02
25116,SINGLE,EMPLOYED FULL-TIME,MONTOSSORI TEACHER,39,IRISH,ACTIVE,LO,07-Feb-02
25117,SINGLE,EMPLOYED FULL-TIME,SHIFT LEADER,60,IRISH,ACTIVE,LO,07-Feb-02
25123,SINGLE,EMPLOYED FULL-TIME,CARER ALZEIMERS SOCIETY,46,IRISH,CHOFF,LO,09-May-02
25125,SINGLE,EMPLOYED FULL-TIME,SENIO EXECUTIVE TECHNICIAN,65,IRISH,ACTIVE,LO,07-Feb-02
25128,SINGLE,RETIRED,STATE PENSIONER,69,IRISH,ACTIVE,LO,07-Feb-02
25130,SINGLE,EMPLOYED FULL-TIME,ELECTRICIAN,24,IRISH,ACTIVE,LO,08-Feb-02
25134,SINGLE,Not Available,Not Available,66,IRISH,ACTIVE,LO,12-Feb-02
25135,SINGLE,EMPLOYED PART-TIME,ADMINISTRATOR,45,IRISH,ACTIVE,LO,12-Feb-02
25136,SINGLE,HOMEMAKER,S.A.H.M,42,IRISH,ACTIVE,LO,12-Feb-02
25145,SINGLE,EMPLOYED FULL-TIME,CLEANER + P-TIME STUDENT CTI,41,IRISH,CHOFF,LO,12-Feb-02
25153,SINGLE,EMPLOYED FULL-TIME,CASH OFFICER,42,IRISH,ACTIVE,LO,13-Feb-02
25175,SINGLE,SELF EMPLOYED,AISLING MOTOR SYSTEMS,40,IRISH,ACTIVE,LO,25-Jun-02
25176,SINGLE,EMPLOYED FULL-TIME,Tusla,40,IRISH,ACTIVE,LO,22-Feb-02
25179,SINGLE,Not Available,Not Available,97,IRISH,ACTIVE,LO,22-Feb-02
25184,SINGLE,EMPLOYED FULL-TIME,TAX CONSULTANT,33,IRISH,ACTIVE,LO,26-Feb-02
25185,SINGLE,EMPLOYED FULL-TIME,SECRETARY,39,IRISH,ACTIVE,LO,26-Feb-02
25189,SINGLE,EMPLOYED FULL-TIME,CARE ASSISTANT,32,IRISH,ACTIVE,LO,27-Feb-02
25196,SINGLE,RETIRED,PENSIONER,72,IRISH,ACTIVE,LO,01-Feb-85
25200,SINGLE,EMPLOYED PART-TIME,PARTS DEPOT,44,IRISH,ACTIVE,LO,01-Mar-02
25209,SINGLE,UNEMPLOYED,JOB SEEKERS,70,IRISH,CHOFF,LO,12-Mar-02
25210,SINGLE,EMPLOYED FULL-TIME,ADMIMISTRATOR,45,IRISH,ACTIVE,LO,12-Mar-02
25227,SINGLE,EMPLOYED FULL-TIME,ADMIN,50,IRISH,ACTIVE,LO,05-Jan-09
25237,SINGLE,EMPLOYED FULL-TIME,PLUMBER,23,IRISH,ACTIVE,LO,19-Mar-02
25242,SINGLE,EMPLOYED FULL-TIME,Not Available,58,IRISH,ACTIVE,LO,18-Mar-92
25245,SINGLE,EMPLOYED FULL-TIME,TEACHER,33,IRISH,ACTIVE,LO,21-Mar-02
25247,JOINT,EMPLOYED FULL-TIME,CONTRACT CLEANER,76,IRISH,CHOFF,LO,21-Mar-02
25248,SINGLE,RETIRED,PENSIONER,81,IRISH,ACTIVE,LO,21-Mar-02
25252,SINGLE,Not Available,Not Available,73,IRISH,ACTIVE,LO,21-Mar-02
25256,SINGLE,EMPLOYED FULL-TIME,DRIVER,63,IRISH,ACTIVE,LO,21-Mar-02
25257,SINGLE,DISABILITY,ONE PARENT FAMILY INCOME,50,UNITED KINGDOM,ACTIVE,LO,21-Mar-02
25261,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATOR,41,IRISH,CHOFF,LO,21-Mar-02
25263,SINGLE,UNEMPLOYED,Not Available,52,IRISH,ACTIVE,LO,26-Mar-02
25273,SINGLE,EMPLOYED FULL-TIME,ELECTRICIAN & QUANTITY SURVEYOR,32,IRISH,ACTIVE,LO,26-Mar-02
25282,SINGLE,EMPLOYED FULL-TIME,FACTORY OPERATIVE,21,IRISH,ACTIVE,LO,12-Apr-02
25284,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,59,IRISH,ACTIVE,LO,22-Jul-11
25292,SINGLE,RETIRED,EIRCOM PENSIONER,69,IRISH,ACTIVE,LO,12-Apr-02
25313,SINGLE,RETIRED,Not Available,74,IRISH,ACTIVE,LO,15-Apr-02
25319,SINGLE,EMPLOYED FULL-TIME,PURCHASER,54,IRISH,ACTIVE,LO,15-Apr-02
25320,SINGLE,EMPLOYED PART-TIME,FOOD INDUSTRY EMPLOYEE,23,IRISH,ACTIVE,LO,15-Apr-02
25322,SINGLE,RETIRED,Not Available,70,IRISH,ACTIVE,LO,15-Apr-02
25323,SINGLE,RETIRED,Not Available,69,IRISH,ACTIVE,LO,15-Apr-02
25324,SINGLE,Not Available,Not Available,76,IRISH,ACTIVE,LO,15-Apr-02
25339,SINGLE,EMPLOYED FULL-TIME,Not Available,45,IRISH,ACTIVE,LO,19-Apr-02
25340,SINGLE,EMPLOYED FULL-TIME,Not Available,23,IRISH,ACTIVE,LO,05-May-06
25354,SINGLE,EMPLOYED FULL-TIME,TEACHER,36,IRISH,ACTIVE,LO,18-Apr-02
25360,SINGLE,Not Available,Not Available,21,IRISH,ACTIVE,LO,23-Apr-02
25366,SINGLE,Not Available,Not Available,77,IRISH,ACTIVE,LO,24-Apr-02
25368,SINGLE,Not Available,Not Available,84,IRISH,ACTIVE,LO,24-Apr-02
25369,SINGLE,Not Available,Not Available,83,IRISH,ACTIVE,LO,24-Apr-02
25378,SINGLE,EMPLOYED FULL-TIME,OFFICE WORKER,64,IRISH,ACTIVE,LO,30-Apr-02
25388,SINGLE,SELF EMPLOYED,FARMER,75,IRISH,ACTIVE,LO,30-Apr-02
25389,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,47,IRISH,ACTIVE,LO,30-Apr-02
25392,SINGLE,Not Available,Not Available,21,IRISH,ACTIVE,LO,01-May-02
25395,SINGLE,EMPLOYED FULL-TIME,Administrator,45,IRISH,ACTIVE,LO,01-May-02
25396,SINGLE,EMPLOYED PART-TIME,LABOURER WORKS 3 DAYS,65,IRISH,ACTIVE,LO,02-May-02
25400,SINGLE,UNEMPLOYED,S/WELFARE CARERS ALLOWANCE,47,IRISH,ACTIVE,LO,02-May-02
25411,SINGLE,Not Available,Not Available,70,IRISH,ACTIVE,LO,03-May-02
25412,SINGLE,RETIRED,Not Available,73,IRISH,ACTIVE,LO,03-May-02
25416,JOINT,EMPLOYED FULL-TIME,SOFTWARE DEVELOPER,42,IRISH,ACTIVE,LO,09-May-02
25428,SINGLE,Not Available,Not Available,21,IRISH,ACTIVE,LO,17-May-02
25438,SINGLE,EMPLOYED FULL-TIME,SHOP ASSISTANT,21,IRISH,ACTIVE,LO,17-May-02
25440,SINGLE,DISABILITY,DISABILITY,66,IRISH,ACTIVE,LO,17-May-02
25444,SINGLE,EMPLOYED FULL-TIME,ADMINISTRATION,33,IRISH,ACTIVE,LO,17-May-02
25451,SINGLE,EMPLOYED PART-TIME,Not Available,21,IRISH,ACTIVE,LO,23-May-02
25459,SINGLE,SELF EMPLOYED,SALESMAN,63,IRISH,ACTIVE,LO,24-May-02
25460,SINGLE,Not Available,Not Available,21,IRISH,ACTIVE,LO,24-May-02
25474,SINGLE,Not Available,Not Available,33,IRISH,ACTIVE,LO,06-Jun-02
25483,SINGLE,STUDENT,W.I.T.STUDENT,29,IRISH,ACTIVE,LO,07-Jun-02
25491,SINGLE,EMPLOYED FULL-TIME,EXECUTIVE PA,52,IRISH,ACTIVE,LO,24-Jun-02
25492,SINGLE,EMPLOYED PART-TIME,STYLIST,70,IRISH,ACTIVE,LO,17-Jun-02
25495,SINGLE,UNEMPLOYED,LONE PARENT,36,IRISH,CHOFF,LO,06-Aug-04
25496,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,25,IRISH,ACTIVE,LO,13-Jun-02
25498,SINGLE,EMPLOYED FULL-TIME,FACTORY WORK,52,IRISH,ACTIVE,LO,13-Jun-02
25503,SINGLE,EMPLOYED FULL-TIME,BUILDERS ELECTRICIAN,31,IRISH,ACTIVE,LO,17-Jun-02
25505,SINGLE,EMPLOYED FULL-TIME,RETAIL BANK OFFICIAL,48,IRISH,ACTIVE,LO,17-Jun-02
25513,SINGLE,EMPLOYED FULL-TIME,Not Available,54,IRISH,ACTIVE,LO,17-Jun-02
25528,SINGLE,EMPLOYED FULL-TIME,Manufacturing Technician APP,21,IRISH,ACTIVE,LO,25-Jun-02
25529,SINGLE,EMPLOYED FULL-TIME,FLOOR LAYER,36,IRISH,ACTIVE,LO,25-Jun-02
25543,SINGLE,UNEMPLOYED,UNEMPLOYED,40,IRISH,ACTIVE,LO,27-Jun-02
25544,SINGLE,Not Available,Not Available,75,IRISH,ACTIVE,LO,27-Jun-02
25551,SINGLE,UNEMPLOYED,JOB SEEKERS (JOINT),42,IRISH,ACTIVE,LO,28-Jun-02
25556,SINGLE,EMPLOYED FULL-TIME,GENERAL OP,41,IRISH,ACTIVE,LO,02-Jul-02
25563,SINGLE,RETIRED,STATE PENSION,82,IRISH,ACTIVE,LO,04-Jul-02
25576,SINGLE,EMPLOYED PART-TIME,CALL CENTRE AGENT,35,IRISH,ACTIVE,LO,09-Jul-02
25581,SINGLE,EMPLOYED PART-TIME,SECRETARY,40,IRISH,ACTIVE,LO,09-Jul-02
25591,SINGLE,EMPLOYED PART-TIME,PUP PAYMENT,48,IRISH,ACTIVE,LO,15-Jul-02
25595,SINGLE,EMPLOYED FULL-TIME,Not Available,40,IRISH,ACTIVE,LO,18-Jul-02
25597,SINGLE,PART TIME SELF EMPLOYED,HAIRDRESSER,60,IRISH,ACTIVE,LO,18-Jul-02
25607,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,41,IRISH,ACTIVE,LO,25-Jul-02
25615,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,35,IRISH,ACTIVE,LO,25-Jul-02
25617,SINGLE,UNEMPLOYED,Not Available,21,IRISH,ACTIVE,LO,25-Jul-02
25630,SINGLE,EMPLOYED FULL-TIME,OPERATIVE,49,IRISH,ACTIVE,LO,31-Jul-02
25631,SINGLE,EMPLOYED FULL-TIME,GENERAL OP.,48,IRISH,ACTIVE,LO,31-Jul-02
25633,SINGLE,EMPLOYED PART-TIME,RETAIL ASSISTANT,21,IRISH,ACTIVE,LO,01-Aug-02
25635,SINGLE,EMPLOYED FULL-TIME,MAINTENANCE TECH,37,IRISH,ACTIVE,LO,02-Aug-02
25640,SINGLE,EMPLOYED FULL-TIME,SALES MGR,41,IRISH,ACTIVE,LO,02-Aug-02
25643,SINGLE,EMPLOYED PART-TIME,WEEKENDS B/L  FACTORY OPERATIVE,52,IRISH,ACTIVE,LO,02-Aug-02
25649,SINGLE,EMPLOYED FULL-TIME,Not Available,53,IRISH,ACTIVE,LO,07-Aug-02
25651,SINGLE,Not Available,Not Available,21,IRISH,ACTIVE,LO,07-Aug-02
25654,SINGLE,EMPLOYED PART-TIME,SALES ASSISTANT / REP,23,IRISH,ACTIVE,LO,07-Aug-02
25656,SINGLE,EMPLOYED FULL-TIME,FACTORY OPERATOR,43,IRISH,CHOFF,LO,07-Aug-02
25660,SINGLE,Not Available,Not Available,80,IRISH,ACTIVE,LO,09-Aug-02
25662,SINGLE,Not Available,Not Available,86,IRISH,ACTIVE,LO,09-Aug-02
25663,JOINT,Not Available,Not Available,33,IRISH,ACTIVE,LO,09-Aug-02
25664,SINGLE,EMPLOYED FULL-TIME,OFFICE,64,IRISH,CHOFF,LO,13-Aug-02
25665,SINGLE,EMPLOYED FULL-TIME,FACTORY OPERATIVE,59,IRISH,ACTIVE,LO,12-Oct-20
25670,SINGLE,EMPLOYED FULL-TIME,CARER,59,IRISH,ACTIVE,LO,13-Aug-02
25675,SINGLE,EMPLOYED FULL-TIME,AN POST EMPLOYEE,38,IRISH,ACTIVE,LO,13-Aug-02
25676,SINGLE,SELF EMPLOYED,OWNER MANAGER,43,IRISH,CHOFF,LO,13-Aug-02
25688,SINGLE,STUDENT,MATCHS AND PE TACHER - STUDENT,23,IRISH,ACTIVE,LO,20-Aug-02
25689,SINGLE,EMPLOYED FULL-TIME,WAREHOUSE OPERATIVE,21,IRISH,ACTIVE,LO,20-Aug-02
25690,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,21,IRISH,ACTIVE,LO,21-Aug-02
25693,SINGLE,EMPLOYED FULL-TIME,SCHOOL TEACHER,40,IRISH,ACTIVE,LO,21-Aug-02
25697,SINGLE,EMPLOYED FULL-TIME,ASSISTANT MANAGER,42,IRISH,ACTIVE,LO,22-Aug-02
25703,SINGLE,EMPLOYED FULL-TIME,OPTICAL/EAR CARE ASSISTANT,25,AMERICAN,ACTIVE,LO,26-Aug-02
